Genre,Title,Audience Score,Critics Score,Synopsis,Director
action,Kitty the Killer,,,"Dina, a highly trained teenage assassin, has worked with her mentor, Keng, for years. Together, they have been on countless missions and have always had each other's backs. However, their partnership is put to the test when Keng is betrayed by his own organization and left for dead. As Keng escapes, he meets Charlie, an ordinary office worker who he feels a special connection with. Keng sees potential in Charlie and decides to make him the new ""Grey Fox Guardian,"" a position that is tasked with protecting Dina from the organization that betrayed Keng. Charlie is thrust into a world he never knew existed, one filled with danger and constant threats to his and Dina's lives. Together, they must navigate the treacherous landscape of the assassin's world and stay one step ahead of their enemies. As they delve deeper into the organization's plans, they discover a sinister plot that could threaten the safety of millions. Charlie and Dina must work together to stop the organization before it's too late.",Lee Thongkham
action,The Ministry of Ungentlemanly Warfare,93,71,"Based upon recently declassified files of the British War Department and inspired by true events, THE MINISTRY OF UNGENTLEMANLY WARFARE is an action-comedy that tells the story of the first-ever special forces organization formed during WWII by UK Prime Minister Winston Churchill and a small group of military officials including author Ian Fleming. The top-secret combat unit, composed of a motley crew of rogues and mavericks, goes on a daring mission against the Nazis using entirely unconventional and utterly ""ungentlemanly"" fighting techniques. Ultimately their audacious approach changed the course of the war and laid the foundation for the British SAS and modern Black Ops warfare.",Guy Ritchie
action,Monkey Man,84,89,"Inspired by the legend of Hanuman, an icon embodying strength and courage, Monkey Man stars Dev Patel as Kid, an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city's sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",Dev Patel
action,Arcadian,55,83,"In a near future, life on Earth has been decimated. Paul (Nicolas Cage) and his twin teenage sons, Thomas (Jaeden Martell) and Joseph (Maxwell Jenkins), have been living a half-life -- tranquility by day and torment by night. When the sun sets, ferocious creatures of the night awaken and consume all living souls in their path. One day, when Thomas doesn't return home before sundown, Paul chooses to leave the safety of their fortified farm to find him before the creatures arrive. Just as he finds his boy, a nightmarish battle ensues and Paul is gravely wounded. Now the twins must devise a desperate plan for surviving the coming night and use everything their father has taught them to keep him alive.",Benjamin Brewer
action,Love Lies Bleeding,82,94,"From Director Rose Glass comes an electric new love story; reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",Rose Glass
action,War for the Planet of the Apes,84,94,"Caesar (Andy Serkis) and his apes are forced into a deadly conflict with an army of humans led by a ruthless colonel (Woody Harrelson). After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the colonel are pitted against each other in an epic battle that will determine the fate of both of their species and the future of the planet.",Matt Reeves
action,Dune: Part Two,95,92,"""Dune: Part Two"" will explore the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, he endeavors to prevent a terrible future only he can foresee.",Denis Villeneuve
action,The Beekeeper,92,70,"In The Beekeeper, one man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".",David Ayer
action,Dawn of the Planet of the Apes,88,91,"Ten years after simian flu wiped out much of the world's homosapiens, genetically enhanced chimpanzee Caesar (Andy Serkis) and his ever-growing band of followers have established a thriving colony just outside San Francisco in Muir Woods. Meanwhile, a small band of human survivors emerges, which forces Caesar -- as leader -- to grapple with the dual challenge of protecting his people and re-establishing a relationship with the remaining human population -- the latter being Caesar's secret wish.",Matt Reeves
action,In the Land of Saints and Sinners,75,83,"Ireland, 1970s. Eager to leave his dark past behind, Finbar Murphy (Liam Neeson) leads a quiet life in the remote coastal town of Glencolmcille, far from the political violence that grips the rest of the country. But when a menacing crew of terrorists arrive, led by a ruthless woman named Doirean (Kerry Condon), Finbar is drawn into an increasingly vicious game of cat and mouse, forcing him to choose between exposing his secret identity or defending his friends and neighbors.",Robert Lorenz
action,Argylle,72,33,"Bryce Dallas Howard (Jurassic World franchise) is Elly Conway, the reclusive author of a series of best-selling espionage novels, whose idea of bliss is a night at home with her computer and her cat, Alfie. But when the plots of Elly's fictional books--which center on secret agent Argylle and his mission to unravel a global spy syndicate--begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by Aidan (Oscar® winner Sam Rockwell), a cat-allergic spy, Elly (carrying Alfie in her backpack) races across the world to stay one step ahead of the killers as the line between Elly's fictional world and her real one begins to blur.",Matthew Vaughn
action,Kung Fu Panda 4,87,72,"After three death-defying adventures defeating world-class villains with his unmatched courage and mad martial arts skills, Po, the Dragon Warrior (Golden Globe nominee Jack Black), is called upon by destiny to... give it a rest already. More specifically, he's tapped to become the Spiritual Leader of the Valley of Peace. That poses a couple of obvious problems. First, Po knows as much about spiritual leadership as he does about the paleo diet, and second, he needs to quickly find and train a new Dragon Warrior before he can assume his new lofty position. Even worse, there's been a recent sighting of a wicked, powerful sorceress, Chameleon (Oscar® winner Viola Davis), a tiny lizard who can shapeshift into any creature, large or small. And Chameleon has her greedy, beady little eyes on Po's Staff of Wisdom, which would give her the power to re-summon all the master villains whom Po has vanquished to the spirit realm. So, Po’s going to need some help. He finds it (kinda?) in the form of crafty, quick-witted thief Zhen (Golden Globe winner Awkwafina), a corsac fox who really gets under Po’s fur but whose skills will prove invaluable. In their quest to protect the Valley of Peace from Chameleon’s reptilian claws, this comedic odd-couple duo will have to work together. In the process, Po will discover that heroes can be found in the most unexpected places.",Mike Mitchell
action,The Great Wall,42,35,"When a mercenary warrior (Matt Damon) is imprisoned within the Great Wall, he discovers the mystery behind one of the greatest wonders of the world. As wave after wave of marauding beasts besiege the massive structure, his quest for fortune turns into a journey toward heroism as he joins a huge army of elite warriors to confront the unimaginable and seemingly unstoppable force.",Yimou Zhang
